C00267, alpha-D-Glucose
C02247, Anthraniloyl-CoA
C21873, 2-Methylquinolin-4-ol
C10641, Aurachin D
C21330, Aurachin C
C21141, 4-Hydroxy-2-methyl-3-oxo-4-[2E,6E-farnesyl]-3,4-dihydroquinoline 1-oxide
C21140, Aurachin B
C21874, Aurachin B epoxide
C21875, Aurachin A
C20345, Isopentenyl phosphate
C22453, trans-Anhydromevalonate phosphate
C20847, R-Mevalonate 3-phosphate
C20848, R-Mevalonate 3,5-bisphosphate
C00718, Amylose
C00498, ADP-glucose
C00369, Starch
C00092, D-Glucose 6-phosphate
C16168, 6Z,9Z,12Z,15Z,18Z,21Z-Tetracosahexaenoyl-CoA
C16374, 2E,6Z,9Z,12Z,15Z,18Z,21Z-Tetracosaheptaenoyl-CoA
C16375, 3R,6Z,9Z,12Z,15Z,18Z,21Z-3-Hydroxytetracosahexaenoyl-CoA
C16376, 6Z,9Z,12Z,15Z,18Z,21Z-3-Oxotetracosahexaenoyl-CoA
C16169, 4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoyl-CoA
C16172, 6Z,9Z,12Z,15Z,18Z-Tetracosapentaenoyl-CoA
C16387, 2E,6Z,9Z,12Z,15Z,18Z-Tetracosahexaenoyl-CoA
C16388, 3R,6Z,9Z,12Z,15Z,18Z-3-Hydroxytetracosapentaenoyl-CoA
C16389, 6Z,9Z,12Z,15Z,18Z-3-Oxotetracosapentaenoyl-CoA
C16173, 4Z,7Z,10Z,13Z,16Z-Docosapentaenoyl-CoA
C21988, H. pylori KDO2-lipid A
C21994, 1-Dephospho-KDO2-lipid A
C21995, 1-PEtN-KDO2-lipid A
C21996, 1-PEtN-KDO-lipid A
C21997, "4-Dephosphorylated 1-PEtN-KDO-lipid A"
C21998, H. pylori KDO-lipid A
G10617, Dolichyl phosphate D-mannose
C02189, [Protein]-L-serine
G13027, \xa0
G13087, \xa0
G13091, O-mannose core M3
G13092, Phospho-core M3
C01068, D-Ribitol 5-phosphate
C00789, CDP-ribitol
G13093, \xa0
G13094, \xa0
G13095, \xa0
G13096, \xa0
G13097, \xa0
G13098, \xa0
C21559, N-[2S-2-Amino-2-carboxyethyl]-L-glutamate
C03401, L-2,3-Diaminopropanoate
C22072, 2-[L-Alanin-3-ylcarbamoylmethyl]-2-hydroxybutanedioate
C22073, 2-[2-Aminoethylcarbamoylmethyl]-2-hydroxybutanedioate
C22074, 2-[L-Alanin-3-ylcarbamoylmethyl]-3-2-aminoethylcarbamoyl-2-hydroxypropanoate
C22075, Staphyloferrin B
C00515, D-Ornithine
C22101, N5-citryl-D-ornithine
C22102, Staphyloferrin A
C20668, 3-Dehydro-D-glucose 6-phosphate
C12213, Kanosamine 6-phosphate
C12212, Kanosamine
C07086, Phenylacetic acid
C00582, Phenylacetyl-CoA
C20062, 2-1,2-Epoxy-1,2-dihydrophenylacetyl-CoA
C19975, 2-Oxepin-23H-ylideneacetyl-CoA
C19946, 3-Oxo-5,6-dehydrosuberyl-CoA semialdehyde
C19945, 3-Oxo-5,6-dehydrosuberyl-CoA
C14144, 5-Carboxy-2-pentenoyl-CoA
C14145, 3S-3-Hydroxyadipyl-CoA
C02232, 3-Oxoadipyl-CoA
C03296, N2-Succinyl-L-arginine
C03415, N2-Succinyl-L-ornithine
C05932, N-Succinyl-L-glutamate 5-semialdehyde
C05931, N-Succinyl-L-glutamate
C21310, "8S-3,8-Cyclo-7,8-dihydroguanosine 5-triphosphate"
C18239, Precursor Z
C05924, Molybdopterin
C19848, Adenylated molybdopterin
C18237, Molybdoenzyme molybdenum cofactor
C22160, [Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine
C15973, [Lipoyl-carrier protein E2]-N6-[R-dihydrolipoyl]-L-lysine
C22159, [Glycine cleavage system H]-N6-octanoyl-L-lysine
C02972, [Glycine cleavage system H]-N6-[R-dihydrolipoyl]-L-lysine
C07024, "3-Keto-3-deoxy-ATP"
C07025, "3-Keto-3-deoxy-AMP"
C07026, "3-Amino-3-deoxy-AMP"
C07027, "N6,N6,O-Tridemethylpuromycin-5-phosphate"
C07028, "N-Acetyl-N6,N6,O-tridemethylpuromycin-5-phosphate"
C07029, "N-Acetyl-N6,O-didemethylpuromycin-5-phosphate"
C07030, "N-Acetyl-O-demethylpuromycin-5-phosphate"
C07031, N-Acetyl-O-demethylpuromycin
C07032, N-Acetylpuromycin
C01610, Puromycin
C21803, "8-Demethyl-8-formylriboflavin 5-phosphate"
C21804, "8-Carboxy-8-demethylriboflavin 5-phosphate"
C21805, "8-Amino-8-demethylriboflavin 5-phosphate"
C21646, 8-Amino-8-demethylriboflavin
C21648, 8-Demethyl-8-methylaminoriboflavin
C21647, Roseoflavin
C22142, CycloL-Trp-L-Phe
C22143, N-Methyl-cycloL-Trp-L-Phe
C22144, --Ditryptophenaline
C00352, D-Glucosamine 6-phosphate
C00357, N-Acetyl-D-glucosamine 6-phosphate
C04501, N-Acetyl-alpha-D-glucosamine 1-phosphate
C00043, UDP-N-acetyl-alpha-D-glucosamine
C21108, Dihydromonacolin L-[acyl-carrier protein]
C10851, Calystegin B2
C20852, 3alpha-Hydroxy-3,5-dihydromonacolin L acid
C20853, Monacolin L acid
C20854, Monacolin J acid
C21129, S-2-Methylbutanoyl-[acp]
C21130, Lovastatin acid
C20413, 3,5,7-Trioxododecanoyl-CoA
C20417, 2,4-Dihydroxy-6-pentylbenzoate
C20406, Cannabigerolate
C10784, Cannabidiolic acid
C07578, Cannabidiol
C21903, Delta9-Tetrahydrocannabinolate
C06972, Dronabinol
C20784, ADP-5-ethyl-4-methylthiazole-2-carboxylate
C00378, Thiamine
C04294, 5-2-Hydroxyethyl-4-methylthiazole
C04327, 4-Methyl-5-2-phosphooxyethylthiazole
C01279, 4-Amino-5-hydroxymethyl-2-methylpyrimidine
C08588, Crocetin
C19867, beta-D-Glucosyl crocetin
C19869, beta-D-Gentiobiosyl crocetin
C17513, trans-Crocetin beta-D-glucosyl beta-D-gentibiosyl ester
C19868, Bisbeta-D-glucosyl crocetin
C08589, Crocin
C22145, Fumiquinazoline F
C22146, "Fumiquinazoline F-indoline-2,3-diol"
C22147, Fumiquinazoline A
C22148, Fumiquinazoline C
C22149, Fumiquinazoline D
C05366, +-Pinoresinol
C10646, Lariciresinol
C18167, Secoisolariciresinol
C10682, Matairesinol
C21191, Pluviatolide
C21183, Bursehernin
C21184, "--5-Demethylyatein"
C10577, Casimiroedine
C10556, Deoxypodophyllotoxin
C10874, Podophyllotoxin
C02798, 3-Phosphonopyruvate
C03167, Phosphonoacetaldehyde
C06451, 2-Hydroxyethylphosphonate
C22216, "Cytidine 5-{[hydroxy2-hydroxyethylphosphonoyl]phosphate}"
C22217, "Cytidine 5-{[hydroxy2-hydroxypropylphosphonoyl]phosphate}"
C06452, S-2-Hydroxypropylphosphonate
C06454, Fosfomycin
C20961, N3-Fumaroyl-L-2,3-diaminopropanoate
C20966, 3-{[2E-4-Amino-4-oxobut-2-enoyl]amino}-L-alanine
C20962, Dapdiamide A
C20963, Dapdiamide B
C20964, Dapdiamide C
C20644, 2-Amino-4,5-dihydroxy-6-oxo-7-phosphooxyheptanoate
C12115, 3-Amino-4-hydroxybenzoate
C20799, Grixazone B
C22137, 4-Chloro-L-lysine
C04075, 2-Amino-4-chloro-4-pentenoic acid
C22138, L-Propargylglycine
C22139, gamma-L-Glutamyl-L-propargylglycine
C22140, L-gamma-Glutamyl-3R-L-beta-ethynylserine
C22141, L-beta-Ethynylserine
C06156, alpha-D-Glucosamine 1-phosphate
C18910, 2,5-Diamino-6-5-phospho-D-ribitylaminopyrimidin-43H-one
C04454, "5-Amino-6-5-phospho-D-ribitylaminouracil"
C15556, L-3,4-Dihydroxybutan-2-one 4-phosphate
C04332, 6,7-Dimethyl-8-D-ribityllumazine
C03722, Quinolinate
C00750, Spermine
C05665, 3-Aminopropanal
C18911, R-4-Phosphopantoate
C07481, Caffeine
C13747, 1,7-Dimethylxanthine
C16353, 7-Methylxanthine
C07480, Theobromine
C00385, Xanthine
C01902, Cycloartenol
C08830, 24-Methylidenecycloartanol
C22116, 3beta-Hydroxy-4beta,14alpha-dimethyl-9beta,19-cyclo-5alpha-ergost-24241-en-4alpha-carboxylate
C22121, Cycloeucalenone
C02141, Cycloeucalenol
C01943, Obtusifoliol
C11508, 4alpha-Methyl-5alpha-ergosta-8,14,2428-trien-3beta-ol
C15776, 4alpha-Methylfecosterol
C11522, 24-Methylenelophenol
C11523, 24-Ethylidenelophenol
C22120, 4alpha-Carboxy-stigmasta-7,24241-dien-3beta-ol
C22123, Avenastenone
C15782, Delta7-Avenasterol
C15783, 5-Dehydroavenasterol
C08821, Isofucosterol
C01753, beta-Sitosterol
C22119, 3beta-Hydroxyergosta-7,24241-dien-4alpha-carboxylate
C22122, Episterone
C15781, 24-Methylenecholesterol
C01028, N6-Hydroxy-L-lysine
C03955, N6-Acetyl-N6-hydroxy-L-lysine
C20333, N2-Citryl-N6-acetyl-N6-hydroxy-L-lysine
C05554, Aerobactin
C19929, Nalpha-Acetyl-L-2,4-diaminobutyrate
C20834, Cyclooctat-9-en-7-ol
C21978, Cyclooctat-9-ene-5,7-diol
C21979, Cyclooctatin
C00645, N-Acetyl-D-mannosamine
C00270, N-Acetylneuraminate
C00128, CMP-N-acetylneuraminate
C19823, UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose
C20769, UDP-2-acetamido-2,6-dideoxy-beta-L-lyxo-4-hexulose
C20768, UDP-2-acetamido-2,6-dideoxy-beta-L-talose
C20774, UDP-N-acetyl-beta-L-fucosamine
C22270, UDP-2,6-dideoxy-2-acetamidino-beta-L-galactose
C11538, Cobalt-sirohydrochlorin
C17401, Cobalt-factor III
C11540, Cobalt-precorrin 4
C16242, Cobalt-precorrin 5A
C16243, Cobalt-precorrin 5B
C11542, Cobalt-precorrin 6
C11543, Cobalt-dihydro-precorrin 6
C16244, Cobalt-precorrin 7
C11545, Cobalt-precorrin 8
C05773, Cobyrinate
C05772, Precorrin 3A
C06406, Precorrin 3B
C06407, Precorrin 4
C06416, Precorrin 5
C06320, Precorrin 6X
C06319, Precorrin 6Y
C06408, Precorrin 8X
C06399, Hydrogenobyrinate
C06503, Hydrogenobyrinate a,c diamide
C05770, Coproporphyrin III
C06089, ent-Copalyl diphosphate
C06090, ent-Kaurene
C11872, Kaur-16-en-18-ol
C11873, Kaur-16-en-18-al
C11874, Kaur-16-en-18-oic acid
C11875, ent-7alpha-Hydroxykaur-16-en-19-oic acid
C06093, Gibberellin A12 aldehyde
C11857, Gibberellin A12
C11860, Gibberellin A15 open lactone
C11861, Gibberellin A24
C11863, Gibberellin A9
C11864, Gibberellin A4
C06094, Gibberellin A53
C06095, Gibberellin A44 diacid
C02034, Gibberellin A19
C02035, Gibberellin A20
C00859, Gibberellin A1
C11853, Gibberellin A14 aldehyde
C11858, Gibberellin A14
C11859, Gibberellin A37 open lactone
C11862, Gibberellin A36
C20772, 3-[1-Carboxyvinyloxy]benzoate
C20773, 6-Amino-6-deoxyfutalosine
C16999, Futalosine
C17010, Dehypoxanthine futalosine
C17017, Cyclic dehypoxanthine futalosine
C17018, 1,4-Dihydroxy-6-naphthoate
C22039, 2-Carboxy-1,4-naphthoquinone
C13309, 2-Phytyl-1,4-naphthoquinone
C21084, Demethylphylloquinol
C03313, Phylloquinol
C04145, all-trans-Nonaprenyl diphosphate
C17570, 2-Methyl-6-solanyl-1,4-benzoquinol
C16695, Plastoquinol-9
C15685, Protomycinolide IV
C15684, Mycinamicin VIII
C15683, Mycinamicin VII
C15682, Mycinamicin VI
C15681, Mycinamicin III
C18846, Mycinamicin IV
C18847, Mycinamicin V
C15680, Mycinamicin II
C20954, 5-Formylfuran-3-ylmethyl phosphate
C21068, [5-Aminomethylfuran-3-yl]methyl phosphate
C21069, [5-Aminomethylfuran-3-yl]methyl diphosphate
C00483, Tyramine
C20926, gamma-Glutamyltyramine
C21070, 4-{4-[2-gamma-L-Glutamylaminoethyl]phenoxymethyl}furan-2-ylmethanamine
C00398, Tryptamine
C20453, Norsolorinic acid anthrone
C20452, Norsolorinic acid
C20499, "1S-Averantin"
C20500, "1S,5S-5-Hydroxyaverantin"
C20502, "5-Oxoaverantin"
C20501, "1S,5R-5-Hydroxyaverantin"
C20574, "1S,5S-Averufin"
C20503, "1-Hydroxyversicolorone"
C20505, Versiconal hemiacetal acetate
C20507, Versiconal
C20575, Versicolorin B
C20583, Versicolorin A
C03683, 6-Demethylsterigmatocystin
C00961, Sterigmatocystin
C03686, O-Methylsterigmatocystin
C06800, Aflatoxin B1
C01346, dUDP
C00460, dUTP
C00365, dUMP
C00364, dTMP
C00363, dTDP
C00459, dTTP
C20231, Z-3-Ureidoacrylate peracid
C20249, Z-3-Peroxyaminoacrylate
C20253, Aminoacrylate
C08650, Isoliquiritigenin
C09762, Liquiritigenin
C15567, "2,7,4-Trihydroxyisoflavanone"
C10208, Daidzein
C12631, 2-Hydroxy-2,3-dihydrogenistein
C06563, Genistein
C00858, Formononetin
C02920, "2-Hydroxyformononetin"
C00786, --Vestitone
C16187, "7,2-Dihydroxy-4-methoxy-isoflavanol"
C10503, Medicarpin
C03765, 4-Hydroxyphenylacetaldehyde
C03758, Dopamine
C06160, S-Norcoclaurine
C06161, S-Coclaurine
C05176, S-N-Methylcoclaurine
C05202, "3-Hydroxy-N-methyl-S-coclaurine"
C02105, S-Reticuline
C06167, 1,2-Dehydroreticuline
C05178, R-Reticuline
C05179, Salutaridine
C05220, Salutaridinol
C05322, 7-O-Acetylsalutaridinol
C06173, Thebaine
C06175, Oripavine
C01735, Morphinone
C01516, Morphine
C02106, S-Scoulerine
C05174, S-Cheilanthifoline
C05175, Stylopine
C06163, S-cis-N-Methylstylopine
C05189, Protopine
C05190, 6-Hydroxyprotopine
C05191, Dihydrosanguinarine
C06162, Sanguinarine
C04118, Isocorypalmine
C03329, S-Canadine
C02915, S-N-Methylcanadine
C21586, S-1-Hydroxy-N-methylcanadine
C21587, 13S,14R-1,13-Dihydroxy-N-methylcanadine
C21588, 13S,14R-1-Hydroxy-13-O-acetyl-N-methylcanadine
C21589, 13S,14R-1,8-Dihydroxy-13-O-acetyl-N-methylcanadine
C21590, "4-O-Desmethyl-3-O-acetylpapaveroxine"
C21591, 3-O-Acetylpapaveroxine
C20299, Papaveroxine
C20297, Narcotine hemiacetal
C09592, Noscapine
C00792, D-Arginine
C03771, 5-Guanidino-2-oxopentanoate
C01157, Hydroxyproline
C03440, cis-4-Hydroxy-D-proline
C04282, 1-Pyrroline-4-hydroxy-2-carboxylate
C00433, 2,5-Dioxopentanoate
C06419, D-Histidine
C22025, 2S-2-Amino-4-{[1R-1-carboxy-2-1H-imidazol-4-ylethyl]amino}butanoate
C22024, Staphylopine
C22458, 8-Amino-7-carboxyaminononanoate
C22388, 2S-2-Nitrobutanedioate
C22455, 3-Amino-2,4-dihydroxybenzoate
C22425, 3-Amino-2-hydroxy-4-methoxybenzoate
C22416, Cremeomycin
C00463, Indole
C12312, Indolin-2-one
C11130, 3-Hydroxyindolin-2-one
C15769, HBOA
C15770, DIBOA
C15772, DIBOA-glucoside
C18062, TRIBOA-glucoside
C04831, DIMBOA-glucoside
C05324, Nicotianamine
C15486, "3-Deamino-3-oxonicotianamine"
C15485, "2-Deoxymugineic acid"
C15500, Mugineic acid
C15501, 3-Epihydroxymugineic acid
C15502, "3-Epihydroxy-2-deoxymugineic acid"
C01672, Cadaverine
C12455, 5-Aminopentanal
C00431, 5-Aminopentanoate
C03273, 5-Oxopentanoate
C00489, Glutarate
C03196, S-2-Hydroxyglutarate
C00990, 5-Aminopentanamide
C00294, Inosine
C00212, Adenosine
C00262, Hypoxanthine
C00366, Urate
C00387, Guanosine
C00242, Guanine
C00739, D-Lysine
C03239, 6-Amino-2-oxohexanoate
C04092, Delta1-Piperideine-2-carboxylate
C00408, L-Pipecolate
C00450, S-2,3,4,5-Tetrahydropyridine-2-carboxylate
C01087, R-2-Hydroxyglutarate
C17758, 4,5-seco-Dopa
C08538, Betalamic acid
C05604, 2-Carboxy-2,3-dihydro-5,6-dihydroxyindole
C08539, Betanidin
C08540, Betanin
C17751, cyclo-Dopa 5-O-glucoside
C08537, Amaranthin
C21762, 4-Hydroxytryptamine
C21778, Norbaeocystin
C21779, Baeocystin
C07576, Psilocybin
C08312, Psilocin
C04290, 4-3-Methylbut-2-enyl-L-tryptophan
C20410, 4-Dimethylallyl-L-abrine
C09131, Chanoclavine-I
C20379, Chanoclavine-I aldehyde
C21897, Dihydrochanoclavine-I aldehyde
C20409, 6,8-Dimethyl-6,7-didehydroergoline
C20408, Festuclavine
C20437, Fumigaclavine B
C20436, Fumigaclavine A
C20438, Fumigaclavine C
C02151, 19E-Geissoschizine
C22936, 3,17-Didehydrostemmadenine
C22937, 17-Dehydrostemmadenine
C11691, Stemmadenine
C22933, Stemmadenine acetate
C22934, Precondylocarpine acetate
C22935, Dihydroprecondylocarpine acetate
C22960, Dehydrosecodine
C09244, Tabersonine
C11643, 16-Hydroxytabersonine
C11675, 16-Methoxytabersonine
C21678, 3R-3-Hydroxy-16-methoxy-1,2-didehydro-2,3-dihydrotabersonine
C04578, 16-Methoxy-2,3-dihydro-3-hydroxytabersonine
C02673, Desacetoxyvindoline
C01091, Deacetylvindoline
C01626, Vindoline
C09107, Catharanthine
C11641, "3,4-Anhydrovinblastine"
C07201, Vinblastine
C22556, R-Dihydrodaidzein
C22557, S-Dihydrodaidzein
C22558, 3S,4R-Tetrahydrodaidzein
C14131, Equol
C01514, Luteolin
C05631, Eriodictyol
C22567, 3-Hydroxyphloretin
C10447, 3,4-Dihydroxyphenylpropanoate
C02183, Phloroglucinol
C01477, Apigenin
C00774, Phloretin
C01744, Phloretate
C00299, Uridine
C00620, alpha-D-Ribose 1-phosphate
C01151, D-Ribose 1,5-bisphosphate
C00055, CMP
C22337, D-Ribulose 1-phosphate
C22617, +-exo-beta-Bergamotene
C22629, 5-Dehydro-6-demethoxyfumagillol
C22631, 5-Dehydro-6-demethoxy-6-hydroxyfumagillol
C22619, 5-Dehydrofumagillol
C22618, Fumagillol
C22651, Dodecapentaenoyl-[acyl-carrier protein]
C22650, Prefumagillin
C09668, Fumagillin
C08616, beta-Amyrin
C17148, Oleanolic acid
C08942, Echinocystic acid
C08972, Quillaic acid
C22652, Quillaic acid 3-O-beta-D-glucuronide
C22653, Quillaic acid 3-O-beta-D-galactosyl-1,2-beta-D-glucuronide
C22654, Quillaic acid 3-O-beta-D-xylosyl-1,3-beta-D-galactosyl-1,2-beta-D-glucuronide
C22656, Quillaic acid 3-O-beta-D-xylosyl-1,3-beta-D-galactosyl-1,2-beta-D-glucuronide-28-O-beta-D-fucoside
C22658, Quillaic acid 3-O-beta-D-xylosyl-1,3-beta-D-galactosyl-1,2-beta-D-glucuronide-28-O-alpha-L-rhamnosyl-1,2-beta-D-fucoside
C22660, Quillaic acid 3-O-beta-D-xylosyl-1,3-beta-D-galactosyl-1,2-beta-D-glucuronide-28-O-beta-D-xylosyl-1,4-alpha-L-rhamnosyl-1,2-beta-D-fucoside
C22664, Quillaic acid 3-O-beta-D-xylosyl-1,3-beta-D-galactosyl-1,2-beta-D-glucuronide-28-O-beta-D-apiosyl-1,3-beta-D-xylosyl-1,4-alpha-L-rhamnosyl-1,2-beta-D-fucoside
C22666, Quillaic acid 3-O-beta-D-xylosyl-1,3-beta-D-galactosyl-1,2-beta-D-glucuronide 28-O-beta-D-apiosyl-1,3-beta-D-xylosyl-1,4-beta-D-glucosyl-1,3-alpha-L-rhamnosyl-1,2-alpha-L-rhamnosyl-1,3-4-O-acetyl-beta-D-fucoside
C05361, Hydrazine
C01026, N,N-Dimethylglycine
C00213, Sarcosine
C00535, Testosterone
C03917, Dihydrotestosterone
C22831, 5alpha-Pregnan-17alpha-ol-3,20-dione
C22832, 5alpha-Pregnane-3alpha,17alpha-diol-20-one
C00523, Androsterone
C03852, Androstan-3alpha,17beta-diol
C02151, Geissoschizine
C11632, Polyneuridine aldehyde
C11633, 16-Epivellosimine
C11807, Vinorine
C01761, Vomilenine
C11808, 1,2-Dihydrovomilenine
C11809, 17-O-Acetylnorajmaline
C11810, Norajmaline
C06542, Ajmaline
C22922, 17-Dehydropreakuammicine
C22923, Norfluorocurarine
C22924, 18-Hydroxynorfluorocurarine
C22925, Wieland-Gumlich aldehyde
C22927, Prestrychnine
C06522, Strychnine
C01852, Secologanin
C03470, 3-alphaS-Strictosidine
C03309, Strictosidine aglycone
C11678, Dialdehyde
C11679, 4,21-Dehydrocorynantheine aldehyde
C03677, 4,21-Dehydrogeissoschizine
C02225, 2-Methylcitrate
C04225, Z-But-2-ene-1,2,3-tricarboxylate
C21250, 2-Methyl-trans-aconitate
C04593, 2S,3R-3-Hydroxybutane-1,2,3-tricarboxylate
C22970, \xa0
C22971, \xa0
C22963, \xa0
C22964, \xa0
C22965, \xa0
C02084, Tetrathionate
C00087, Sulfur
C20239, 6-Carboxy-5,6,7,8-tetrahydropterin
C20248, 7-Carboxy-7-carbaguanine
C15996, 7-Cyano-7-carbaguanine
C16675, 7-Aminomethyl-7-carbaguanine
C04022, S,S-Dimethyl-beta-propiothetin
C08276, 3-Methylthiopropanoate
C20870, 3-Methylthiopropanoyl-CoA
C20955, 3-Methylthioacryloyl-CoA
C00409, Methanethiol
C00580, Dimethyl sulfide
C00511, Acrylic acid
